Population Increase,"Other renewables (TWh, direct energy)","Solar (TWh, direct energy)","Wind (TWh, direct energy)","Hydropower (TWh, direct energy)"
12295431.0,0.0,0.0,0.0,14.0
13774011.0,0.0,0.0,0.0,17.0
15724988.0,0.0,0.0,0.0,33.0
17031792.0,0.0,0.0,0.0,64.0
22082664.0,0.0,0.0,0.0,131.0
24387955.0,0.0,0.0,0.0,192.0
36080041.0,0.0,0.0,0.0,333.0
48941312.0,0.0,0.0,0.0,689.0
69899776.0,17.985231,0.0,0.0,923.19806
69304832.0,19.806007,0.0,0.0,983.81696
69031168.0,19.98657,0.0,0.0,1005.7424
71362816.0,22.120045,0.0,0.0,1059.2887
73844480.0,23.257965,0.0,0.0,1121.7424
74734848.0,25.701897,0.0,0.0,1174.6497
74772992.0,27.888294,0.0,0.0,1227.2422
74637568.0,29.888775,0.0,0.0,1284.629
75450624.0,32.09585,0.0,0.0,1303.013
75265536.0,34.289085,0.0,0.0,1431.2317
73920256.0,34.81208,0.0,0.0,1448.8834
73068544.0,38.79105,0.0,0.0,1443.1366
73266688.0,40.89204,0.0,0.0,1491.6724
73885184.0,43.29665,0.0,0.003,1614.3823
75925248.0,46.499256,0.0,0.006,1695.1862
78425088.0,49.717464,0.0,0.0105,1731.6493
80619520.0,53.48617,0.0,0.0105,1768.9036
83357184.0,61.708954,0.0,0.0185,1800.9081
83899392.0,68.35493,0.003,0.03279495,1877.7689
83952128.0,76.34615,0.006311111,0.044755556,1941.3734
85894656.0,78.69558,0.011747475,0.064220205,1979.2446
88332288.0,85.43938,0.015183838,0.13883132,2006.0651
90921472.0,91.51002,0.01060303,0.19537677,2033.1884
91309568.0,94.15391,0.01019596,0.3315798,2098.3518
91409920.0,104.66536,0.26222324,2.6497767,2087.588
92471808.0,117.21735,0.38834995,3.6324706,2158.854
90070016.0,122.25421,0.5053229,4.086107,2208.702
86440448.0,131.14992,0.4666791,4.732812,2208.4592
84747264.0,135.47186,0.5566775,5.704169,2341.4597
83294208.0,140.66844,0.5969829,7.13173,2356.203
82491904.0,146.63136,0.63888276,8.272123,2483.6868
81925632.0,150.6927,0.69922996,9.215601,2517.03
81335808.0,161.40073,0.7496558,12.028216,2561.359
80831488.0,168.2064,0.811852,15.92926,2581.1204
80445952.0,176.63608,0.9052879,21.226898,2600.65
81140224.0,184.89665,1.0594312,31.409636,2646.7285
81848320.0,192.05826,1.4237884,38.380093,2578.737
81660416.0,206.70955,1.7994766,52.381878,2626.306
81490944.0,218.39073,2.255641,63.2847,2623.0532
81852928.0,236.05714,2.9718347,85.618484,2816.6147
82424832.0,255.4333,4.187687,104.62774,2911.3308
83239936.0,272.0138,5.762825,133.5028,3022.2476
84532224.0,295.2423,7.818763,171.5083,3072.5112
85648896.0,315.8789,12.6981945,221.41554,3251.702
86708736.0,339.2694,21.073503,276.79816,3246.445
87297024.0,378.83444,33.912262,346.40918,3430.1318
87522304.0,397.6471,65.64861,440.67798,3492.674
88572416.0,430.3208,101.52152,530.5034,3641.8489
88895488.0,464.44162,138.59294,635.5076,3788.1174
88420352.0,502.8774,197.2615,705.8885,3889.0215
87583744.0,544.0647,255.97948,831.37604,3879.4531
86876672.0,552.9557,328.41495,962.1343,4014.4116
86348288.0,588.78033,445.47995,1141.5242,4071.2231
83967488.0,636.2133,575.76025,1269.5287,4189.757
81161216.0,667.61945,705.22516,1420.624,4243.2876
76001792.0,702.9823,854.37476,1593.953,4359.012
68342272.0,751.1769,1059.2937,1854.1052,4288.783
