Year,Population Increase
1801,2287693.0
1802,3470416.0
1803,3511522.0
1804,3552980.0
1805,3594804.0
1806,3637023.0
1807,3679675.0
1808,3722771.0
1809,3766353.0
1810,6065826.0
1811,4857777.0
1812,6149149.0
1813,6807071.0
1814,6983603.0
1815,7158814.0
1816,7338407.0
1817,7522557.0
1818,7711482.0
1819,7599323.0
1820,8666988.0
1821,5906714.0
1822,6932206.0
1823,7251009.0
1824,7361377.0
1825,7466791.0
1826,7618228.0
1827,7723658.0
1828,7830576.0
1829,7382962.0
1830,7720839.0
1831,5647503.0
1832,5949572.0
1833,5467822.0
1834,5518863.0
1835,5609038.0
1836,5610565.0
1837,5710135.0
1838,5775896.0
1839,5717182.0
1840,6492183.0
1841,4710207.0
1842,5505564.0
1843,5546484.0
1844,5439680.0
1845,5616511.0
1846,5701035.0
1847,5787257.0
1848,5875285.0
1849,5094929.0
1850,5415443.0
1851,1934522.0
1852,2238809.0
1853,1488665.0
1854,1606505.0
1855,1706800.0
1856,1827407.0
1857,1943223.0
1858,2060635.0
1859,2436144.0
1860,4044989.0
1861,1948786.0
1862,3513750.0
1863,3883439.0
1864,3966552.0
1865,4043054.0
1866,4118969.0
1867,4202613.0
1868,4285180.0
1869,4868074.0
1870,6769121.0
1871,4708700.0
1872,6626672.0
1873,7228518.0
1874,7300469.0
1875,7400457.0
1876,7480620.0
1877,7531727.0
1878,7599626.0
1879,8128215.0
1880,10138591.0
1881,7863518.0
1882,9848400.0
1883,10456040.0
1884,10585870.0
1885,10774388.0
1886,10875651.0
1887,11032263.0
1888,11159868.0
1889,10936627.0
1890,12295431.0
1891,8942320.0
1892,10210964.0
1893,10000140.0
1894,10138270.0
1895,10289773.0
1896,10378094.0
1897,10523960.0
1898,10649084.0
1899,11307251.0
1900,13774011.0
1901,10764385.0
1902,13192560.0
1903,13863463.0
1904,14049178.0
1905,14231445.0
1906,14427131.0
1907,14621444.0
1908,14842050.0
1909,14247877.0
1910,15724988.0
1911,10936379.0
1912,12413897.0
1913,11858306.0
1914,12048628.0
1915,12185526.0
1916,12268898.0
1917,12339768.0
1918,12970071.0
1919,13781232.0
1920,17031792.0
1921,13066489.0
1922,16077481.0
1923,16810780.0
1924,17080001.0
1925,17351938.0
1926,17651009.0
1927,17969901.0
1928,17992648.0
1929,18831292.0
1930,22082664.0
1931,17833612.0
1932,20927927.0
1933,21671255.0
1934,21940245.0
1935,22215416.0
1936,22645224.0
1937,23048557.0
1938,23126602.0
1939,22478216.0
1940,24387955.0
1941,16865406.0
1942,18997811.0
1943,17846861.0
1944,17858468.0
1945,17727861.0
1946,17643497.0
1947,18883146.0
1948,20564949.0
1949,25982710.0
1950,36080041.0
1951,43808256.0
1952,47140608.0
1953,50007808.0
1954,51700480.0
1955,54092800.0
1956,54930688.0
1957,56864000.0
1958,58241280.0
1959,54184192.0
1960,48941312.0
1961,49137152.0
1962,58316032.0
1963,69092608.0
1964,71432960.0
1965,69899776.0
1966,69304832.0
1967,69031168.0
1968,71362816.0
1969,73844480.0
1970,74734848.0
1971,74772992.0
1972,74637568.0
1973,75450624.0
1974,75265536.0
1975,73920256.0
1976,73068544.0
1977,73266688.0
1978,73885184.0
1979,75925248.0
1980,78425088.0
1981,80619520.0
1982,83357184.0
1983,83899392.0
1984,83952128.0
1985,85894656.0
1986,88332288.0
1987,90921472.0
1988,91309568.0
1989,91409920.0
1990,92471808.0
1991,90070016.0
1992,86440448.0
1993,84747264.0
1994,83294208.0
1995,82491904.0
1996,81925632.0
1997,81335808.0
1998,80831488.0
1999,80445952.0
2000,81140224.0
2001,81848320.0
2002,81660416.0
2003,81490944.0
2004,81852928.0
2005,82424832.0
2006,83239936.0
2007,84532224.0
2008,85648896.0
2009,86708736.0
2010,87297024.0
2011,87522304.0
2012,88572416.0
2013,88895488.0
2014,88420352.0
2015,87583744.0
2016,86876672.0
2017,86348288.0
2018,83967488.0
2019,81161216.0
2020,76001792.0
2021,68342272.0
